title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
아디다스 F50 엘리트 FG 메시 LEO X BB  ,359000,319000,"인조가죽, 합성가죽",천연잔디,3.0,3.0,,https://www.crazy11.co.kr/shopimages/winv007/001005003205.jpg?1740624378,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808782&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bGl3U1w%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 LL FG  ,319000,239000,합성가죽,천연잔디,4.0,3.0,171,https://www.crazy11.co.kr/shopimages/winv007/001005003212.jpg?1740624347,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809173&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmx8W11D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 클럽 FxG ,79000,39000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,224,https://www.crazy11.co.kr/shopimages/winv007/001005003197.jpg?1740624400,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808413&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aWp3UFo%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 프로 MG ,189000,119000,"인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",3.0,3.0,234,https://www.crazy11.co.kr/shopimages/winv007/001005003207.jpg?1740624378,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808866&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aGV8WQ%3D%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 X 스피드포탈1 FG ,309000,109000,"합성가죽, 니트",천연잔디,3.0,1.0,189,https://www.crazy11.co.kr/shopimages/winv007/001005002996.jpg?1740624524,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=803384&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=aG93Ulg%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 INJ1 FG ,309000,129000,"합성가죽, 니트",천연잔디,4.0,2.0,,https://www.crazy11.co.kr/shopimages/winv007/001005003053.jpg?1740624510,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=804992&xcode=257&mcode=001&scode=014&type=Y&sort=order&cur_code=257&search=&GfDT=aWZ3Ug%3D%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 INJ1 LL FG  ,319000,119000,"인조가죽, 니트",천연잔디,4.0,2.0,176,https://www.crazy11.co.kr/shopimages/winv007/001005003054.jpg?1740624510,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=804993&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=am53UFQ%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 리그 FG ,119000,49000,합성가죽,천연잔디,4.0,2.0,230,https://www.crazy11.co.kr/shopimages/winv007/001005003141.jpg?1740624459,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806943&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=a213U14%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 리그 LL FG ,129000,59000,합성가죽,천연잔디,5.0,1.0,229,https://www.crazy11.co.kr/shopimages/winv007/001005003131.jpg?1740624467,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806856&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bm9%2BW19F,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 리그 MG ,109000,49000,합성가죽,"천연잔디, 인조잔디, 맨땅",4.0,2.0,239,https://www.crazy11.co.kr/shopimages/winv007/001005003132.jpg?1740624467,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806867&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=Zmp3Ulw%3D,X,adidas,X,X,FW, MF,,speed
