,Unnamed: 0,position,country,name,club,boots,age,height,name_ko,id,team_name,eng_name,color,img,boots_ko,boots_img,img_src,country_ko,position_ko
1004,1004,Midfielder,Ecuador,John Yeboah,Venezia FC,Nike Mercurial Vapor 15 Elite,24,170,존 예보아,300242755,베네치아,Venezia FC,#101010,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p242755.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,🇪🇨 에콰도르,미드필더
1005,1005,Midfielder,United States,Johnny Cardoso,Real Betis Balompié,Nike Mercurial Vapor 15 Elite,23,186,조니 카르도소,300259516,레알 베티스,Real Betis Balompié,#009048,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p259516.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8603.png,🇺🇸 미국,미드필더
1006,1006,Midfielder,Spain,Jon Ander Olasagasti,Real Sociedad,adidas Predator Accuracy.1,24,176,존 안데르 올라사가스티,300262500,레알 소시에다드,Real Sociedad,#0056B3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p262500.png,아디다스 프레데터 애큐러시.1,https://www.footballbootsdb.com/logos/boots/2023/10/652566460aeb5.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8560.png,🇪🇸 스페인,미드필더
1007,1007,Defender,Venezuela,Jon Aramburu,Real Sociedad,Puma Future 7 Ultimate,22,176,존 아람부루,300259848,레알 소시에다드,Real Sociedad,#0056B3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p259848.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/8560.png,🇻🇪 베네수엘라,수비수
1008,1008,Midfielder,Spain,Jon Guridi,Deportivo Alavés,adidas Copa Pure 2 Elite,29,179,존 구리디,826238126,알라베스,Deportivo Alavés,#0351A3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p238126.png,아디다스 코파 퓨어 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed99b4c3f73.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9866.png,🇪🇸 스페인,미드필더
1009,1009,Midfielder,Spain,Jon Moncayola,CA Osasuna,Nike Phantom GX 2 Elite,26,182,존 몬카욜라,283247495,오사수나,CA Osasuna,#AF1428,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p283247495.png,나이키 팬텀 GX 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196d100cf15.png,https://images.fotmob.com/image_resources/logo/teamlogo/8371.png,🇪🇸 스페인,미드필더
1010,1010,Defender,Spain,Jon Pacheco,Real Sociedad,Nike Tiempo Legend 10 Elite,24,184,존 파체코,810255854,레알 소시에다드,Real Sociedad,#0056B3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p810255854.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8560.png,🇪🇸 스페인,수비수
1011,1011,Defender,Germany,Jonas Föhrenbach,1. FC Heidenheim 1846,Nike Mercurial Superfly 9 Elite,29,184,요나스 푀렌바흐,300229277,하이덴하임,1. FC Heidenheim 1846,#E20613,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p229277.png,나이키 머큐리얼 슈퍼플라이 9 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d009d3fbdc.png,https://images.fotmob.com/image_resources/logo/teamlogo/94937.png,🇩🇪 독일,수비수
1012,1012,Midfielder,Germany,Jonas Hofmann,Bayer 04 Leverkusen,Puma Future 7 Ultimate,32,176,요나스 호프만,242210324,레버쿠젠,Bayer 04 Leverkusen,#CF1E1E,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p242210324.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/8178.png,🇩🇪 독일,미드필더
1013,1013,Midfielder,Germany,Jonas Hofmann,Bayer 04 Leverkusen,Puma Future 7 Ultimate,32,176,요나스 호프만,300244083,레버쿠젠,Bayer 04 Leverkusen,#CF1E1E,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p244083.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/8178.png,🇩🇪 독일,미드필더
1014,1014,Midfielder,France,Jonas Martin,Stade Brestois 29,Puma Ultra Ultimate,34,184,요나스 마르탱,216197813,브레스트,Stade Brestois 29,#ED1C24,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p216197813.png,퓨마 울트라 Ultimate,https://www.footballbootsdb.com/logos/boots/2023/04/64317eee4690c.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8521.png,🇫🇷 프랑스,미드필더
1015,1015,Goalkeeper,Switzerland,Jonas Omlin,Borussia Mönchengladbach,Puma Future 7 Ultimate,31,190,요나스 옴린,515223550,글라트바흐,Borussia Mönchengladbach,#417E37,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p223550.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/9788.png,🇨🇭 스위스,골키퍼
1016,1016,Defender,Sweden,Jonas Rouhi,Juventus,adidas Copa Pure 2 Elite KT,21,183,요나스 루히,300074329,유벤투스,Juventus,#000001,./image/man.png,아디다스 코파 퓨어 2 Elite KT,https://www.footballbootsdb.com/logos/boots/2024/09/66ed97ff1268a.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9885.png,🇸🇪 스웨덴,수비수
1017,1017,Goalkeeper,Germany,Jonas Urbig,Bayern München,adidas Copa Sense.1,21,189,요나스 우르비히,300263887,바이에른 뮌헨,Bayern München,#C60428,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p263887.png,아디다스 코파 센스.1,https://www.footballbootsdb.com/logos/boots/2023/07/64a40e0a5be2e.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9823.png,🇩🇪 독일,골키퍼
1018,1018,Forward,Denmark,Jonas Wind,VfL Wolfsburg,Nike Mercurial Vapor 15 Elite,26,190,요나스 빈,826241522,볼프스부르크,VfL Wolfsburg,#65B32E,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p826241522.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8721.png,🇩🇰 덴마크,공격수
